gentime,NeAnc,td,lambda,maxn,sampn,data,Model,scheme,Nh,Nc,T,lnL,AIC,NhC,NcC,lnLC,AICC,delta
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10297.771,37.17034036,10.0045481,-12344.30417,24694.60833,10039.97336,10039.97336,-12623.8991,25249.7982,-555.1898681
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11386.88936,244.9720755,10.00452034,-18765.80105,37537.6021,10676.04854,10676.04854,-18801.49318,37604.98636,-67.38426301
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11183.2482,5174.774365,58.75238649,-32113.56746,64233.13493,10771.1089,10771.1089,-32134.08516,64270.17032,-37.03539072
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10338.26568,34.47311273,10.012507,-12288.11984,24582.23968,10061.96419,10061.96419,-12581.19562,25164.39125,-582.1515645
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11487.73319,265.1078262,10.00180149,-18847.90973,37701.81946,10842.41837,10842.41837,-18879.15339,37760.30678,-58.48732574
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11225.7828,5592.845657,48.08470884,-32101.37924,64208.75849,10786.52802,10786.52802,-32126.15071,64254.30142,-45.54293019
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10228.31771,36.43855872,10.07776945,-12130.27385,24266.5477,9962.804803,9962.804803,-12414.02712,24830.05424,-563.5065473
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11460.62547,306.558504,10.04360927,-18550.30512,37106.61024,10905.08255,10905.08255,-18574.9771,37151.95419,-45.3439564
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11203.60859,9538.10593,11.34493553,-31639.23137,63284.46274,10835.13851,10835.13851,-31660.54279,63323.08558,-38.62283404
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,10164.16479,34.16991852,10.00199135,-12170.04814,24346.09629,9889.51301,9889.51301,-12465.16922,24932.33843,-586.2421449
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11377.86729,296.1699737,10.00181591,-18665.09766,37336.19531,10788.01329,10788.01329,-18691.25735,37384.5147,-48.31938316
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,11241.51505,9755.677512,10.2064355,-32079.95457,64165.90913,10852.06479,10852.06479,-32100.48452,64202.96905,-37.05991591
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0,9857.727505,36.52013342,10.05592737,-11675.86451,23357.72903,9600.743651,9600.743651,-11949.6859,23901.3718,-543.6427673
g1,n10e4,constant,constant,n500,n100,rad10k,Change,t0t120,11000.82743,243.3593716,10.03268683,-17926.07959,35858.15919,10303.30213,10303.30213,-17959.75384,35921.50767,-63.34848701
g1,n10e4,constant,constant,n500,n100,rad10k,Change,all,10831.94188,8640.785886,16.025343,-30507.76456,61021.52912,10396.70533,10396.70533,-30529.9883,61061.9766,-40.44748586
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10064.30678,39.32112557,10.55249772,-60957.38518,121920.7704,9803.338677,9803.338677,-62378.0685,124758.137,-2837.366631
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11289.35499,287.4230632,10.30829749,-92907.16245,185820.3249,10667.2176,10667.2176,-93049.47644,186100.9529,-280.6279885
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11048.75706,4779.658741,61.76457478,-159029.2008,318064.4016,10605.84208,10605.84208,-159143.9887,318289.9774,-225.5757648
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10232.03019,35.07831253,10.02200259,-61044.22868,122094.4574,9961.070292,9961.070292,-62499.23843,125000.4769,-2906.019495
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11372.09007,257.4640186,10.00400378,-93412.37434,186830.7487,10700.53462,10700.53462,-93574.28945,187150.5789,-319.8302069
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11108.76713,6376.28798,39.86290378,-159329.9537,318665.9074,10683.2582,10683.2582,-159442.6238,318887.2476,-221.3401386
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10027.72394,36.62594487,10.14632594,-59942.51826,119891.0365,9762.983891,9762.983891,-61348.60407,122699.2081,-2808.171625
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11169.9816,244.7163627,10.29718128,-91576.91771,183159.8354,10450.99074,10450.99074,-91754.54186,183511.0837,-351.2483042
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11016.15849,5670.062605,48.07028105,-156587.6381,313181.2761,10586.92328,10586.92328,-156698.7055,313399.411,-218.1348884
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10233.37159,35.86500512,10.03118211,-61162.409,122330.818,9966.402683,9966.402683,-62588.36975,125178.7395,-2847.921499
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11395.1957,262.6147092,10.00218882,-93575.27413,187156.5483,10738.36376,10738.36376,-93733.39344,187468.7869,-312.2386193
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11155.23917,7596.459071,25.4150047,-159962.168,319930.3361,10694.84696,10694.84696,-160097.2584,320196.5168,-266.1807334
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0,10279.4892,35.04447536,10.11319339,-61048.03119,122102.0624,10003.49668,10003.49668,-62512.29525,125026.5905,-2924.528136
g1,n10e4,constant,constant,n500,n100,rad50k,Change,t0t120,11463.53276,268.4089397,10.00174994,-93370.68634,186747.3727,10828.33016,10828.33016,-93519.15311,187040.3062,-292.9335447
g1,n10e4,constant,constant,n500,n100,rad50k,Change,all,11260.27416,9673.134695,10.30668421,-159537.6451,319081.2902,10799.81681,10799.81681,-159658.2195,319318.4391,-237.1488333
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0,10121.29432,36.55038029,10.07131302,-6125092.073,12250190.15,9858.871141,9858.871141,-6269037.646,12538077.29,-287887.1458
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0t120,11332.68087,290.3143746,10.01003014,-9339781.355,18679568.71,10739.44936,10739.44936,-9353247.155,18706496.31,-26927.59952
g1,n10e4,constant,constant,n500,n100,wgs,Change,all,11060.18108,5691.441151,47.08142991,-15989206.77,31978419.53,10611.80431,10611.80431,-16001353.62,32002709.24,-24289.70685
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0,10113.96754,36.54617705,10.0190174,-6120104.523,12240215.05,9852.293787,9852.293787,-6263474.868,12526951.74,-286736.6906
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0t120,11267.36018,245.1185458,10.01946862,-9360041.22,18720088.44,10563.0898,10563.0898,-9377421.118,18754844.24,-34755.79663
g1,n10e4,constant,constant,n500,n100,wgs,Change,all,11049.84361,6970.579425,30.8191543,-15981425.7,31962857.4,10568.53639,10568.53639,-15995108.55,31990219.1,-27361.70036
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0,10155.54821,36.62316805,10.03846752,-6149329.595,12298665.19,9893.559554,9893.559554,-6293401.734,12586805.47,-288140.2786
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0t120,11324.0191,257.9189532,10.04173671,-9397338.427,18794682.85,10650.53536,10650.53536,-9413610.115,18827222.23,-32539.37537
g1,n10e4,constant,constant,n500,n100,wgs,Change,all,11077.3436,8082.70901,22.25139993,-16049136.39,32098278.78,10672.18938,10672.18938,-16060429.92,32120861.85,-22583.06447
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0,10146.51422,36.72796045,10.07633319,-6130162.844,12260331.69,9888.992245,9888.992245,-6274620.093,12549242.19,-288910.4981
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0t120,11333.70253,266.1336476,10.00751199,-9363522.096,18727050.19,10685.57963,10685.57963,-9378909.711,18757821.42,-30771.22873
g1,n10e4,constant,constant,n500,n100,wgs,Change,all,11103.47506,9516.500291,10.34437911,-16007394.56,32014795.13,10672.64969,10672.64969,-16020161.6,32040325.2,-25530.07101
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0,10111.74258,36.61258724,10.10071536,-6116948.597,12233903.19,9850.031497,9850.031497,-6260763.448,12521528.9,-287625.7029
g1,n10e4,constant,constant,n500,n100,wgs,Change,t0t120,11302.82967,267.4891419,10.02414583,-9349049.684,18698105.37,10658.57906,10658.57906,-9364324.455,18728650.91,-30545.54223
g1,n10e4,constant,constant,n500,n100,wgs,Change,all,11080.1568,9308.890337,11.63110177,-15989264.43,31978534.85,10622.48648,10622.48648,-16002260.46,32004522.92,-25988.06115
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0,9916.811408,22.68579612,10.00221043,-13338.46557,26682.93114,9534.038541,9534.038541,-13913.7166,27829.43321,-1146.502067
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0t120,11917.60105,292.2462423,10.56983403,-21013.61198,42033.22397,10650.68944,10650.68944,-21066.68078,42135.36155,-102.1375829
g1,n10e4,constant,constant,n500,n200,rad10k,Change,all,11577.69326,6885.073908,41.15546162,-36434.6702,72875.34039,10768.84434,10768.84434,-36468.39531,72938.79061,-63.45022044
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0,10315.0658,22.48112672,10.00485887,-13865.03637,27736.07274,9918.518824,9918.518824,-14459.65059,28921.30118,-1185.22844
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0t120,12394.4969,327.3854797,10.06346362,-21731.07433,43468.14866,11309.24415,11309.24415,-21772.56044,43547.12087,-78.97220927
g1,n10e4,constant,constant,n500,n200,rad10k,Change,all,12070.00294,8036.024142,32.06998726,-37887.41043,75780.82085,11285.98828,11285.98828,-37920.30087,75842.60175,-61.78089351
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0,10344.24977,23.04382116,10.14219596,-14045.86398,28097.72796,9947.876194,9947.876194,-14648.15918,29298.31835,-1200.59039
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0t120,12326.35522,260.4240189,10.02487642,-22054.47557,44114.95114,10971.25228,10971.25228,-22114.76322,44231.52644,-116.5752984
g1,n10e4,constant,constant,n500,n200,rad10k,Change,all,11974.93432,5552.855343,65.29903095,-38263.2972,76532.59439,11156.82967,11156.82967,-38295.51919,76593.03839,-60.443995
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0,10442.92135,21.1941331,10.05407096,-14026.54129,28059.08257,10024.63205,10024.63205,-14642.47381,29286.94763,-1227.865057
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0t120,12415.61933,282.7571256,10.14710021,-22017.73102,44041.46205,11139.96507,11139.96507,-22071.26334,44144.52667,-103.0646246
g1,n10e4,constant,constant,n500,n200,rad10k,Change,all,12030.80229,6568.661377,49.85238502,-38462.7106,76931.4212,11255.52855,11255.52855,-38494.42013,76990.84026,-59.41905401
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0,10249.13016,22.01757472,10.0642078,-13948.6629,27903.32579,9845.10942,9845.10942,-14558.88172,29119.76344,-1216.437644
g1,n10e4,constant,constant,n500,n200,rad10k,Change,t0t120,12184.80838,275.6199558,10.79407173,-21798.36384,43602.72767,10808.38037,10808.38037,-21859.58545,43721.17089,-118.4432159
g1,n10e4,constant,constant,n500,n200,rad10k,Change,all,11994.0078,10465.15678,10.25916865,-38276.37337,76558.74673,11214.86621,11214.86621,-38311.4181,76624.8362,-66.08947295
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0,10367.13508,21.81251636,10.02236041,-69826.96836,139659.9367,9959.685793,9959.685793,-72889.97361,145781.9472,-6122.010499
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0t120,12393.72091,300.714645,10.27392209,-109789.3515,219584.703,11179.14329,11179.14329,-110039.6488,220081.2976,-496.5945878
g1,n10e4,constant,constant,n500,n200,rad50k,Change,all,12022.98869,6578.360609,51.24226233,-189993.7102,379993.4204,11279.13277,11279.13277,-190137.7134,380277.4268,-284.0064107
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0,10153.34122,23.27818517,10.11460904,-69755.20612,139516.4122,9765.029397,9765.029397,-72766.26382,145534.5276,-6018.115407
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0t120,12226.15024,292.9979967,10.00025179,-109217.8861,218441.7722,11017.60584,11017.60584,-109464.7842,218931.5684,-489.7962285
g1,n10e4,constant,constant,n500,n200,rad50k,Change,all,11797.99354,8601.639085,24.79240364,-189836.457,379678.914,11014.16891,11014.16891,-190005.5223,380013.0445,-334.1305603
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0,10324.62669,21.62482785,10.09333821,-69688.92062,139383.8412,9912.211697,9912.211697,-72763.45372,145528.9074,-6145.066194
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0t120,12342.24952,289.2841443,10.01533755,-109671.6449,219349.2899,11117.49145,11117.49145,-109924.6219,219851.2439,-501.9539772
g1,n10e4,constant,constant,n500,n200,rad50k,Change,all,11973.14314,8359.580765,27.90243792,-190476.4843,380958.9687,11173.02039,11173.02039,-190648.1629,381298.3257,-339.357067
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0,10112.31795,22.74233291,10.02841206,-68559.91838,137125.8368,9723.46193,9723.46193,-71518.5242,143039.0484,-5913.211653
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0t120,12089.86477,265.5658784,10.14358306,-107721.7744,215449.5488,10760.89263,10760.89263,-108010.883,216023.766,-574.2171329
g1,n10e4,constant,constant,n500,n200,rad50k,Change,all,11718.18327,8777.072994,21.72412591,-186773.4429,373552.8859,10873.82252,10873.82252,-186961.4385,373924.8769,-371.9910401
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0,10541.03506,141.7514856,51.83235378,-69600.61732,139207.2346,9902.7767,9902.7767,-72631.45726,145264.9145,-6057.679892
g1,n10e4,constant,constant,n500,n200,rad50k,Change,t0t120,12321.15259,278.5882749,10.00294076,-109712.6832,219431.3665,11050.7624,11050.7624,-109980.7207,219963.4413,-532.0748578
g1,n10e4,constant,constant,n500,n200,rad50k,Change,all,11884.5207,9590.262,16.38778849,-190539.0194,381084.0388,11103.80089,11103.80089,-190716.4743,381434.9486,-350.9097177
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0,9980.050898,10162.24026,61.47044656,-3389863.434,6779732.867,9980.696872,9980.696872,-3389863.474,6779728.948,3.91961326
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0t120,9991.829609,7370.972808,68.38627737,-5120162.916,10240331.83,9982.882976,9982.882976,-5120177.867,10240357.73,-25.9036033
g1,n10e4,constant,constant,n500,n20,wgs,Change,all,9994.031019,9982.184633,49.42128667,-8477195.746,16954397.49,9993.774718,9993.774718,-8477195.753,16954393.51,3.9854495
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0,9961.685033,7886.091428,61.46665403,-3382593.687,6765193.374,9958.121016,9958.121016,-3382596.341,6765194.683,-1.30940086
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0t120,9954.160368,8327.678541,68.37477285,-5104782.301,10209570.6,9949.133697,9949.133697,-5104786.851,10209575.7,-5.099034
g1,n10e4,constant,constant,n500,n20,wgs,Change,all,9955.477618,9215.455697,49.39978212,-8446813.38,16893632.76,9952.54586,9952.54586,-8446814.563,16893631.13,1.6339361
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0,9954.264803,8293.377853,61.46825925,-3376217.678,6752441.357,9951.565802,9951.565802,-3376219.243,6752440.486,0.87094757
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0t120,9948.812879,8400.45523,68.37548818,-5098839.41,10197684.82,9944.096147,9944.096147,-5098843.366,10197688.73,-3.9124856
g1,n10e4,constant,constant,n500,n20,wgs,Change,all,9950.053165,10316.02059,49.42461345,-8438227.459,16876460.92,9951.762596,9951.762596,-8438228.865,16876459.73,1.187739301
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0,9950.580214,12225.43536,61.47596357,-3384745.184,6769496.369,9956.084649,9956.084649,-3384748.166,6769498.333,-1.96385364
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0t120,9955.280203,37493.81157,67.53103246,-5097582.8,10195171.6,9978.601662,9978.601662,-5097686.601,10195375.2,-203.6022471
g1,n10e4,constant,constant,n500,n20,wgs,Change,all,9949.313024,12505.41163,49.40539167,-8446076.409,16892158.82,9957.429996,9957.429996,-8446097.839,16892197.68,-38.8615176
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0,9990.795873,12737.07629,61.47670942,-3387950.285,6775906.571,9994.245761,9994.245761,-3387956.02,6775914.04,-7.469004299
g1,n10e4,constant,constant,n500,n20,wgs,Change,t0t120,9997.020409,15634.82553,67.6235995,-5113384.501,10226775,10007.16153,10007.16153,-5113404.008,10226810.02,-35.013191
g1,n10e4,constant,constant,n500,n20,wgs,Change,all,9993.219651,11658.02925,49.42152646,-8467920.986,16935847.97,9997.237249,9997.237249,-8467928.829,16935859.66,-11.685335
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0,10055.79803,13723.23424,91.24598794,-10334.57463,20675.14927,10061.93153,10061.93153,-10334.77273,20671.54546,3.603803916
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0t120,10105.7019,16208.89498,86.30722145,-15463.23698,30932.47397,10164.9658,10164.9658,-15463.68662,30929.37324,3.100723699
g1,n10e4,constant,constant,n500,n50,rad10k,Change,all,10082.78147,8205.637231,46.46854003,-25594.26035,51194.52069,10047.88644,10047.88644,-25594.7043,51191.40859,3.112096219
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0,10113.17413,14594.71401,90.55668109,-10484.82243,20975.64486,10120.39761,10120.39761,-10485.06759,20972.13519,3.509670483
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0t120,9974.756572,14129.29071,86.2112441,-15524.37605,31054.7521,10022.67492,10022.67492,-15524.64824,31051.29648,3.455613522
g1,n10e4,constant,constant,n500,n50,rad10k,Change,all,10105.08622,16095.99101,46.35435074,-26024.57583,52055.15166,10160.01016,10160.01016,-26025.58387,52053.16775,1.983912368
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0,9974.604389,6051.003002,90.83611969,-10370.34064,20746.68128,9959.324792,9959.324792,-10371.12535,20744.25069,2.43058603
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0t120,10026.14179,11539.41746,86.23537035,-15527.6626,31061.3252,10046.67179,10046.67179,-15527.71164,31057.42327,3.901932552
g1,n10e4,constant,constant,n500,n50,rad10k,Change,all,10076.26879,10988.26297,11.09584023,-26012.40404,52030.80807,10124.55404,10124.55404,-26013.02443,52028.04886,2.759213151
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0,10167.77382,8095.480836,102.507366,-10477.20248,20960.40495,10161.03315,10161.03315,-10477.37455,20956.7491,3.655855472
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0t120,10142.03713,13304.12318,86.27157891,-15625.45385,31256.9077,10178.53868,10178.53868,-15625.61859,31253.23718,3.670525493
g1,n10e4,constant,constant,n500,n50,rad10k,Change,all,10150.65408,9564.442992,14.37258369,-26249.83214,52505.66429,10106.63369,10106.63369,-26250.2355,52502.47101,3.193280108
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0,9695.195092,1705584.509,19.48869325,-9980.294386,19966.58877,9703.606535,9703.606535,-9980.691417,19963.38283,3.205937217
g1,n10e4,constant,constant,n500,n50,rad10k,Change,t0t120,9712.235832,67025.11502,32.33070295,-14879.87466,29765.74931,9776.481715,9776.481715,-14880.32743,29762.65486,3.094449058
g1,n10e4,constant,constant,n500,n50,rad10k,Change,all,9736.62677,18809.98595,105.0706323,-24798.85319,49603.70638,9779.923091,9779.923091,-24799.47672,49600.95343,2.752947952
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0,9903.082804,12223.776,90.92272372,-51897.80823,103801.6165,9908.057083,9908.057083,-51898.28248,103798.565,3.051491208
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0t120,9909.921483,10102.8955,85.32710826,-77478.73474,154963.4695,9911.697974,9911.697974,-77478.73491,154959.4698,3.999676345
g1,n10e4,constant,constant,n500,n50,rad50k,Change,all,9885.738374,9341.910856,46.55513745,-129335.1434,258676.2868,9878.389083,9878.389083,-129335.2702,258672.5405,3.746326883
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0,10051.21147,10446.88727,90.83677461,-52025.86565,104057.7313,10052.15782,10052.15782,-52025.88253,104053.7651,3.96623383
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0t120,10027.92136,7876.879022,86.25534068,-77649.91172,155305.8234,9987.847767,9987.847767,-77650.755,155303.51,2.313459658
g1,n10e4,constant,constant,n500,n50,rad50k,Change,all,10056.68674,12819.5715,46.370955,-129614.6971,259235.3942,10088.40046,10088.40046,-129616.5159,259235.0317,0.362447855
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0,10105.79203,8001.393451,90.7921242,-51947.3795,103900.759,10100.54369,10100.54369,-51948.04773,103898.0955,2.663545577
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0t120,10182.53943,9927.363481,86.31566692,-77620.17153,155246.3431,10178.72568,10178.72568,-77620.17734,155242.3547,3.988383139
g1,n10e4,constant,constant,n500,n50,rad50k,Change,all,10134.07539,10355.66352,46.43459068,-129872.7096,259751.4192,10137.56887,10137.56887,-129872.7273,259747.4547,3.964496432
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0,9865.837715,12144.57232,90.85112412,-51064.67488,102135.3498,9870.442006,9870.442006,-51065.11835,102132.2367,3.113059096
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0t120,9873.796267,12894.41767,85.45698388,-76289.32716,152584.6543,9911.139078,9911.139078,-76290.08787,152582.1757,2.478591002
g1,n10e4,constant,constant,n500,n50,rad50k,Change,all,9929.345191,10694.18297,12.28037069,-127374.0176,254754.0352,9962.593152,9962.593152,-127376.0177,254754.0353,-5.92E-05
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0,10090.44667,8525.682565,19.1319868,-52208.81039,104423.6208,10089.6407,10089.6407,-52208.82765,104419.6553,3.965476312
g1,n10e4,constant,constant,n500,n50,rad50k,Change,t0t120,10081.581,10742.77767,34.61196523,-77556.93989,155119.8798,10085.31453,10085.31453,-77556.94803,155115.8961,3.983710898
g1,n10e4,constant,constant,n500,n50,rad50k,Change,all,10079.24679,9897.295413,11.16211672,-129967.3959,259940.7918,10066.54557,10066.54557,-129967.6238,259937.2477,3.544169986
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0,9991.166022,10628.08508,61.27164812,-5220847.419,10441700.84,9991.520293,9991.520293,-5220849.911,10441701.82,-0.984764202
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0t120,10003.38976,12696.7266,68.57195719,-7783510.912,15567027.82,10030.29718,10030.29718,-7783556.323,15567114.65,-86.8236089
g1,n10e4,constant,constant,n500,n50,wgs,Change,all,9999.838172,10028.76348,48.93075264,-13020593.28,26041192.56,10000.39588,10000.39588,-13020593.32,26041188.64,3.920269299
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0,9961.611101,10752.68172,61.26849886,-5216953.643,10433913.29,9962.141989,9962.141989,-5216957.378,10433916.76,-3.468904201
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0t120,9969.008881,11760.98528,68.56369372,-7777535.576,15555077.15,9988.168185,9988.168185,-7777558.659,15555119.32,-42.1658822
g1,n10e4,constant,constant,n500,n50,wgs,Change,all,9951.495926,9361.727965,48.97840918,-13007935.2,26015876.4,9941.887853,9941.887853,-13007950.16,26015902.32,-25.9143345
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0,9953.828983,10819.15038,61.26913564,-5208039.626,10416085.25,9954.502817,9954.502817,-5208043.975,10416089.95,-4.6980727
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0t120,9936.617189,8232.879676,68.54604046,-7782267.797,15564541.59,9911.888453,9911.888453,-7782299.674,15564601.35,-59.7527663
g1,n10e4,constant,constant,n500,n50,wgs,Change,all,9941.534474,9282.49183,48.95653073,-12999035.61,25998077.23,9930.730681,9930.730681,-12999054.7,25998111.4,-34.1727634
g1,n10e4,constant,constant,n500,n50,wgs,Change,t0,9952.250134,10323.49578,61.27838391,-5209028.41,10418062.82,9952.266972,9952.266972,-5209029.383,10418060.77,2.053912301
