gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e4,td100,l99,n50,wgs,Constant,all,9970.72668,9970.72668,-13183151.2,26366304.39,10010.58025,1902.517928,119.9327549,-13182242.52,26364491.05,1813.34
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9412.844199,9412.844199,-33207.61187,66417.22375,9400.452089,10374.19131,26.35708761,-33207.51999,66421.03997,-3.81622
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9659.874123,9659.874123,-34816.7089,69635.41781,9657.37524,9896.432224,26.76336392,-34816.70313,69639.40626,-3.98845
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9618.618339,9618.618339,-34049.90597,68101.81193,9599.465435,11745.23176,26.89453741,-34049.67305,68105.3461,-3.53417
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9846.684645,9846.684645,-34280.088,68562.17599,9785.147751,311445.7356,16.43960216,-34275.15343,68556.30686,5.86913
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9929.466423,9929.466423,-34896.94835,69795.8967,9906.866156,10958.40995,10.02922546,-34896.63362,69799.26723,-3.37053
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9712.381672,9712.381672,-169527.4151,339056.8302,9677.690138,115297.1524,14.36278817,-169510.4639,339026.9278,29.9024
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9896.424157,9896.424157,-173724.9769,347451.9538,9878.209891,10549.7693,10.15700725,-173724.1294,347454.2589,-2.3051
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9658.907358,9658.907358,-169072.3319,338146.6639,9639.234159,86174.68793,12.67677455,-169053.0601,338112.1202,34.5437
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9873.021618,9873.021618,-172791.5422,345585.0844,9947.038039,3161.879539,119.713776,-172779.8002,345565.6004,19.484
g3,n10e4,td190,l95,n100,rad50k,Constant,all,10106.23596,10106.23596,-175143.0988,350288.1976,10083.37191,11137.61932,10.01084735,-175141.5239,350289.0479,-0.8503
g3,n10e4,td190,l95,n100,wgs,Constant,all,9898.157219,9898.157219,-17434760.59,34869523.17,9895.111189,10689.80201,114.6084297,-17434758,34869522.01,1.160000004
g3,n10e4,td190,l95,n100,wgs,Constant,all,9865.891081,9865.891081,-17346280.19,34692562.39,9858.640901,11828.88738,114.414886,-17346269.4,34692544.8,17.59
g3,n10e4,td190,l95,n100,wgs,Constant,all,9836.83403,9836.83403,-17383732.63,34767467.26,9853.213217,6953.512592,119.6725777,-17383670.23,34767346.46,120.8
g3,n10e4,td190,l95,n100,wgs,Constant,all,9855.881864,9855.881864,-17450681.76,34901365.52,9912.443604,3943.858116,119.8747556,-17450061.94,34900129.88,1235.64
g3,n10e4,td190,l95,n100,wgs,Constant,all,9904.910651,9904.910651,-17414868.6,34829739.2,9662.601279,61605.54849,11.99420058,-17413432.22,34826870.43,2868.77
g3,n10e4,td190,l95,n200,rad10k,Constant,all,9111.092827,9111.092827,-42582.64929,85167.29859,9037.57024,12525.71428,72.22279203,-42581.92755,85169.85509,-2.5565
g3,n10e4,td190,l95,n200,rad10k,Constant,all,9563.93036,9563.93036,-44707.3142,89416.6284,9552.271729,10014.75078,72.23655844,-44707.29552,89420.59103,-3.96263
g3,n10e4,td190,l95,n200,rad10k,Constant,all,9401.79779,9401.79779,-44012.56926,88027.13853,9400.882018,9424.152338,72.20530258,-44012.56921,88031.13841,-3.99988
g3,n10e4,td190,l95,n200,rad10k,Constant,all,9112.619137,9112.619137,-43938.77049,87879.54099,9100.484024,9536.459197,72.22767806,-43938.7517,87883.50341,-3.96242
g3,n10e4,td190,l95,n200,rad10k,Constant,all,9030.174116,9030.174116,-44696.5958,89395.19161,9339.836285,3139.346788,119.9980413,-44686.23737,89378.47475,16.71686
g3,n10e4,td190,l95,n200,rad50k,Constant,all,9241.70215,9241.70215,-217591.857,435185.714,9268.570626,8453.809274,72.22224458,-217591.4717,435188.9435,-3.2295
g3,n10e4,td190,l95,n200,rad50k,Constant,all,9242.281788,9242.281788,-217912.6929,435827.3858,9152.982822,9936.049924,10.00397177,-217906.2653,435818.5307,8.8551
g3,n10e4,td190,l95,n200,rad50k,Constant,all,9476.274061,9476.274061,-221390.7054,442783.4108,9541.747588,6785.448839,119.8747407,-221387.8877,442781.7754,1.6354
g3,n10e4,td190,l95,n200,rad50k,Constant,all,9414.226944,9414.226944,-222903.6574,445809.3147,9481.557629,6738.588986,119.9527945,-222900.7404,445807.4808,1.8339
g3,n10e4,td190,l95,n200,rad50k,Constant,all,9751.571095,9751.571095,-224171.7901,448345.5801,9674.874032,10344.8396,10.00102383,-224167.4216,448340.8431,4.737
g3,n10e4,td190,l95,n20,wgs,Constant,all,10000.08069,10000.08069,-8510854.091,17021710.18,9995.098529,20780.81392,116.346725,-8510846.776,17021699.55,10.63
g3,n10e4,td190,l95,n20,wgs,Constant,all,10042.2363,10042.2363,-8548938.08,17097878.16,10042.65443,9089.509693,114.3236332,-8548938.166,17097882.33,-4.169999998
g3,n10e4,td190,l95,n20,wgs,Constant,all,10055.13616,10055.13616,-8539652.637,17079307.27,10044.05202,468050.792,114.2440351,-8539520.735,17079047.47,259.8
g3,n10e4,td190,l95,n20,wgs,Constant,all,10019.68774,10019.68774,-8503268.626,17006539.25,10010.65196,5000000,113.8334068,-8503222.604,17006451.21,88.04
g3,n10e4,td190,l95,n20,wgs,Constant,all,10058.40413,10058.40413,-8547129.973,17094261.95,10049.12276,5000000,115.1400979,-8547078.031,17094162.06,99.89
g3,n10e4,td190,l95,n50,rad10k,Constant,all,9635.019887,9635.019887,-24988.94345,49979.8869,9612.142395,1304995.332,25.20911163,-24987.95808,49981.91617,-2.02927
g3,n10e4,td190,l95,n50,rad10k,Constant,all,9753.927832,9753.927832,-25743.69932,51489.39864,9723.297322,5000000,31.76628643,-25742.21091,51490.42183,-1.02319
g3,n10e4,td190,l95,n50,rad10k,Constant,all,9888.631707,9888.631707,-26186.93856,52375.87712,9881.877634,10887.00188,10.091342,-26186.85791,52379.71581,-3.83869
g3,n10e4,td190,l95,n50,rad10k,Constant,all,9935.181469,9935.181469,-25911.48896,51824.97792,9917.874235,252602.1218,15.98793353,-25910.37317,51826.74634,-1.76842
g3,n10e4,td190,l95,n50,rad10k,Constant,all,10108.28369,10108.28369,-26450.69939,52903.39879,10117.15634,7990.051019,35.61192407,-26450.55061,52907.10121,-3.70242
g3,n10e4,td190,l95,n50,rad50k,Constant,all,9776.452435,9776.452435,-127862.5991,255727.1981,9744.109749,449643.3011,25.27633336,-127854.7602,255715.5203,11.6778
g3,n10e4,td190,l95,n50,rad50k,Constant,all,10055.40936,10055.40936,-131221.3663,262444.7327,10036.27424,233305.4659,17.83171837,-131217.0251,262440.0502,4.6825
g3,n10e4,td190,l95,n50,rad50k,Constant,all,10221.85895,10221.85895,-133156.0196,266314.0392,10208.21182,2096467.454,20.91128202,-133153.5661,266313.1322,0.907
g3,n10e4,td190,l95,n50,rad50k,Constant,all,9804.769562,9804.769562,-128123.8336,256249.6672,9776.869108,186117.105,14.68167918,-128114.4073,256234.8147,14.8525
g3,n10e4,td190,l95,n50,rad50k,Constant,all,10001.33272,10001.33272,-131267.584,262537.1679,10040.53859,1993.749301,119.989352,-131259.9378,262525.8756,11.2923
g3,n10e4,td190,l95,n50,wgs,Constant,all,9990.546302,9990.546302,-13135103.77,26270209.55,9971.221379,266870.5134,114.8252398,-13134793.56,26269593.11,616.44
g3,n10e4,td190,l95,n50,wgs,Constant,all,10033.63394,10033.63394,-13206075.05,26412152.1,10015.68483,5000000,114.851128,-13205778.66,26411563.32,588.78
g3,n10e4,td190,l95,n50,wgs,Constant,all,9994.770423,9994.770423,-13150249.37,26300500.74,9970.22526,5000000,115.008787,-13149753.96,26299513.91,986.83
g3,n10e4,td190,l95,n50,wgs,Constant,all,10035.43051,10035.43051,-13190328.24,26380658.47,10006.88507,5000000,114.9916767,-13189713.85,26379433.69,1224.78
g3,n10e4,td190,l95,n50,wgs,Constant,all,9994.914234,9994.914234,-13218210.64,26436423.28,10020.06165,3115.456014,119.9514619,-13217937.56,26435881.11,542.17
g3,n10e3,td100,l99,n100,rad10k,Constant,t0,970.8754513,970.8754513,-1323.87798,2649.75596,977.7253823,85.74692984,10.04559479,-1320.21131,2646.42262,3.33334
g3,n10e3,td100,l99,n100,rad10k,Constant,t0,937.1396691,937.1396691,-1267.572693,2537.145387,945.8916318,330.1145517,70.12035724,-1263.690448,2533.380897,3.76449
g3,n10e3,td100,l99,n100,rad10k,Constant,t0,951.8314115,951.8314115,-1300.716367,2603.432735,958.3351797,307.9494006,46.00979028,-1297.713094,2601.426188,2.006547
g3,n10e3,td100,l99,n100,rad10k,Constant,t0,878.3347604,878.3347604,-1182.081395,2366.16279,878.8061207,544.6491006,119.4959783,-1180.965966,2367.931933,-1.769143
g3,n10e3,td100,l99,n100,rad10k,Constant,t0,843.4496365,843.4496365,-1233.278564,2468.557129,847.7017616,107.3409285,10.02308865,-1230.808515,2467.61703,0.940099
g3,n10e3,td100,l99,n100,rad50k,Constant,t0,1046.14998,1046.14998,-6963.751648,13929.5033,1051.738131,345.8694797,40.94210219,-6951.828125,13909.65625,19.84705
g3,n10e3,td100,l99,n100,rad50k,Constant,t0,977.3782652,977.3782652,-6557.409079,13116.81816,984.1138689,358.6704665,56.1700909,-6543.34062,13092.68124,24.13692
g3,n10e3,td100,l99,n100,rad50k,Constant,t0,1035.237851,1035.237851,-7000.683592,14003.36718,1041.699298,597.270516,119.9805583,-6992.296961,13990.59392,12.77326
g3,n10e3,td100,l99,n100,rad50k,Constant,t0,1032.483138,1032.483138,-6917.566106,13837.13221,1038.221366,299.9716588,36.75737453,-6903.844755,13813.68951,23.4427
g3,n10e3,td100,l99,n100,rad50k,Constant,t0,1024.253478,1024.253478,-6774.796642,13551.59328,1031.927431,137.3890531,19.18250976,-6753.083931,13512.16786,39.42542
g3,n10e3,td100,l99,n100,wgs,Constant,t0,1029.395397,1029.395397,-692920.2067,1385842.413,1037.979862,450.7519527,74.63965493,-691645.3561,1383296.712,2545.701
g3,n10e3,td100,l99,n100,wgs,Constant,t0,1028.357238,1028.357238,-689162.5142,1378327.028,1036.652011,443.3284107,74.64187017,-687853.5262,1375713.052,2613.976
g3,n10e3,td100,l99,n100,wgs,Constant,t0,1020.730384,1020.730384,-689176.6668,1378355.334,1029.40643,441.2617183,74.63881308,-687855.0658,1375716.132,2639.202
g3,n10e3,td100,l99,n100,wgs,Constant,t0,1002.271438,1002.271438,-677707.6661,1355417.332,1007.576167,501.9012614,74.64946904,-676860.9818,1353727.964,1689.368
g3,n10e3,td100,l99,n100,wgs,Constant,t0,1009.40174,1009.40174,-683972.6872,1367947.374,1019.142322,440.1995206,74.63056451,-682651.7853,1365309.571,2637.803
g3,n10e3,td100,l99,n200,rad10k,Constant,t0,847.828466,847.828466,-1547.540249,3097.080498,849.6082869,334.8858553,16.22674021,-1546.119785,3098.239571,-1.159073
g3,n10e3,td100,l99,n200,rad10k,Constant,t0,968.1818397,968.1818397,-1633.559791,3269.119583,976.0420712,508.9304331,98.83323061,-1629.934091,3265.868183,3.2514
g3,n10e3,td100,l99,n200,rad10k,Constant,t0,933.915956,933.915956,-1560.533032,3123.066065,948.1476276,347.4869761,98.86479967,-1552.057122,3110.114243,12.951822
g3,n10e3,td100,l99,n200,rad10k,Constant,t0,888.4938859,888.4938859,-1503.069631,3008.139263,893.1361352,457.2408063,65.96453687,-1500.330376,3006.660752,1.478511
g3,n10e3,td100,l99,n200,rad10k,Constant,t0,954.3400371,954.3400371,-1609.177894,3220.355788,961.1764096,341.2545678,49.51099731,-1603.807098,3213.614196,6.741592
g3,n10e3,td100,l99,n200,rad50k,Constant,t0,978.9269806,978.9269806,-8104.82633,16211.65266,985.713009,230.6186399,32.60151968,-8066.993519,16139.98704,71.66562
g3,n10e3,td100,l99,n200,rad50k,Constant,t0,1031.886552,1031.886552,-8697.899733,17397.79947,1040.856366,503.3772088,91.97225247,-8676.134595,17358.26919,39.53028
g3,n10e3,td100,l99,n200,rad50k,Constant,t0,1047.849321,1047.849321,-8692.204182,17386.40836,1054.533028,561.8086642,98.91741374,-8675.406773,17356.81355,29.59481
g3,n10e3,td100,l99,n200,rad50k,Constant,t0,1027.88308,1027.88308,-8400.115328,16802.23066,1035.707892,380.3329289,66.10321277,-8368.751821,16743.50364,58.72702
g3,n10e3,td100,l99,n200,rad50k,Constant,t0,1036.788225,1036.788225,-8643.91608,17289.83216,1042.924056,431.0138918,60.28494841,-8621.090086,17248.18017,41.65199
g3,n10e3,td100,l99,n20,wgs,Constant,t0,1009.73043,1009.73043,-346300.2349,692602.4699,1012.194207,407.0620639,22.81900639,-346276.9365,692559.8729,42.597
g3,n10e3,td100,l99,n20,wgs,Constant,t0,1005.493084,1005.493084,-343581.6694,687165.3389,1006.199929,714.1874304,22.0889656,-343579.5328,687165.0656,0.2733
g3,n10e3,td100,l99,n20,wgs,Constant,t0,1022.587386,1022.587386,-350860.0046,701722.0092,1023.380051,479.937033,12.03975011,-350856.2266,701718.4532,3.556
g3,n10e3,td100,l99,n20,wgs,Constant,t0,1022.66307,1022.66307,-346288.4608,692578.9216,1027.885035,221.2377328,22.68277308,-346194.8466,692395.6932,183.2284
g3,n10e3,td100,l99,n20,wgs,Constant,t0,1028.567168,1028.567168,-348231.751,696465.5019,1036.401675,150.9600707,22.69755288,-348032.4233,696070.8465,394.6554
g3,n10e3,td100,l99,n50,rad10k,Constant,t0,930.6285464,930.6285464,-977.3486076,1956.697215,934.5286569,498.4242201,119.9988696,-976.4014317,1958.802863,-2.105648
g3,n10e3,td100,l99,n50,rad10k,Constant,t0,981.2217102,981.2217102,-1019.404951,2040.809903,984.8885012,319.610564,25.45047714,-1018.92231,2043.84462,-3.034717
g3,n10e3,td100,l99,n50,rad10k,Constant,t0,881.1370054,881.1370054,-908.4334688,1818.866938,887.7039476,394.3838395,96.98882529,-907.0915251,1820.18305,-1.316112
g3,n10e3,td100,l99,n50,rad10k,Constant,t0,936.9399807,936.9399807,-988.8438383,1979.687677,945.6558322,71.77051399,13.45899206,-986.443741,1978.887482,0.800195
g3,n10e3,td100,l99,n50,rad10k,Constant,t0,849.8034103,849.8034103,-966.5299031,1935.059806,850.519285,492.9065806,10.00736565,-966.5087286,1939.017457,-3.957651
g3,n10e3,td100,l99,n50,rad50k,Constant,t0,1046.486445,1046.486445,-5361.206796,10724.41359,1051.711913,350.240682,38.72261779,-5357.138191,10720.27638,4.13721
g3,n10e3,td100,l99,n50,rad50k,Constant,t0,973.3578389,973.3578389,-5078.252529,10158.50506,976.6598477,637.4289093,117.6579405,-5076.225148,10158.4503,0.05476
g3,n10e3,td100,l99,n50,rad50k,Constant,t0,1034.921785,1034.921785,-5410.094576,10822.18915,1040.626601,226.961912,25.05971564,-5404.936862,10815.87372,6.31543
g3,n10e3,td100,l99,n50,rad50k,Constant,t0,1031.961308,1031.961308,-5350.133601,10702.2672,1037.509212,621.9729495,119.9793052,-5346.951105,10699.90221,2.36499
g3,n10e3,td100,l99,n50,rad50k,Constant,t0,1032.197515,1032.197515,-5293.584895,10589.16979,1038.781025,79.647446,10.05531466,-5286.357493,10578.71499,10.4548
g3,n10e3,td100,l99,n50,wgs,Constant,t0,1010.728606,1010.728606,-531075.8017,1062153.603,1016.030616,510.3924103,66.73465631,-530762.9089,1061531.818,621.785
g3,n10e3,td100,l99,n50,wgs,Constant,t0,1026.786641,1026.786641,-533689.3548,1067380.71,1031.997866,158.8044117,16.25762562,-533208.9444,1066423.889,956.821
g3,n10e3,td100,l99,n50,wgs,Constant,t0,1001.527185,1001.527185,-522149.6067,1044301.213,1007.464344,459.1222727,66.74094748,-521740.1656,1043486.331,814.882
g3,n10e3,td100,l99,n50,wgs,Constant,t0,1028.465032,1028.465032,-535419.9296,1070841.859,1034.976235,464.7230794,66.75338911,-534990.5782,1069987.156,854.703
g3,n10e3,td100,l99,n50,wgs,Constant,t0,1021.584291,1021.584291,-533855.8522,1067713.704,1026.721193,118.9487824,12.10141924,-533365.0015,1066736.003,977.701
g3,n10e3,td190,l95,n100,rad10k,Constant,t0,1069.204243,1069.204243,-1489.352397,2980.704794,1074.136498,749.0597122,68.03015811,-1488.924611,2983.849222,-3.144428
g3,n10e3,td190,l95,n100,rad10k,Constant,t0,1175.011852,1175.011852,-1659.023132,3320.046264,1181.069377,176.3166336,10.00946695,-1657.175356,3320.350712,-0.304448
g3,n10e3,td190,l95,n100,rad10k,Constant,t0,894.1443879,894.1443879,-1313.446513,2628.893026,896.1507814,745.8637745,42.74409335,-1313.377891,2632.755782,-3.862756
g3,n10e3,td190,l95,n100,rad10k,Constant,t0,805.5158342,805.5158342,-1230.505907,2463.011814,802.6716496,912.3847567,68.07887878,-1230.446033,2466.892066,-3.880252
g3,n10e3,td190,l95,n100,rad10k,Constant,t0,1103.634785,1103.634785,-1585.625979,3173.251957,1110.283439,111.9825614,10.00000006,-1582.456593,3170.913185,2.338772
g3,n10e3,td190,l95,n100,rad50k,Constant,t0,1004.688881,1004.688881,-7218.045432,14438.09086,1002.67772,1245.047977,68.06697929,-7217.388839,14440.77768,-2.68682
g3,n10e3,td190,l95,n100,rad50k,Constant,t0,999.2943103,999.2943103,-7287.430281,14576.86056,999.9058772,974.9046519,68.05443673,-7287.41874,14580.83748,-3.97692
g3,n10e3,td190,l95,n100,rad50k,Constant,t0,1031.938215,1031.938215,-7563.040417,15128.08083,1034.924321,293.7395609,10.00306778,-7560.082555,15126.16511,1.91572
g3,n10e3,td190,l95,n100,rad50k,Constant,t0,1029.724293,1029.724293,-7432.785231,14867.57046,1034.839643,852.0882813,68.0398265,-7432.069094,14870.13819,-2.56773
g3,n10e3,td190,l95,n100,rad50k,Constant,t0,1080.656978,1080.656978,-7567.416275,15136.83255,1080.812494,1070.666121,96.02696076,-7567.414311,15140.82862,-3.99607
g3,n10e3,td190,l95,n100,wgs,Constant,t0,1038.061372,1038.061372,-747734.3819,1495470.764,1040.454746,853.5576187,53.13675909,-747685.4246,1495376.849,93.915
g3,n10e3,td190,l95,n100,wgs,Constant,t0,1042.365488,1042.365488,-754194.8277,1508391.655,1041.646191,1100.364617,53.29669515,-754191.3639,1508388.728,2.927
g3,n10e3,td190,l95,n100,wgs,Constant,t0,1045.731529,1045.731529,-754828.8178,1509659.636,1045.902691,622.8424954,10.14279396,-754797.9749,1509601.95,57.686
g3,n10e3,td190,l95,n100,wgs,Constant,t0,1036.258304,1036.258304,-755067.6801,1510137.36,1038.97657,804.2645903,35.67279399,-755014.5068,1510035.014,102.346
g3,n10e3,td190,l95,n100,wgs,Constant,t0,1030.357133,1030.357133,-740258.2399,1480518.48,1034.778302,764.8471708,53.09105083,-740136.4333,1480278.867,239.613
g3,n10e3,td190,l95,n200,rad10k,Constant,t0,1104.476825,1104.476825,-1955.186728,3912.373457,1111.554677,434.5668135,53.00848027,-1950.087458,3906.174916,6.198541
g3,n10e3,td190,l95,n200,rad10k,Constant,t0,1076.640277,1076.640277,-1872.720904,3747.441807,1082.03359,216.5493663,10.00156457,-1869.850237,3745.700474,1.741333
g3,n10e3,td190,l95,n200,rad10k,Constant,t0,895.6707621,895.6707621,-1669.218488,3340.436975,905.112846,268.0638361,10.00364934,-1667.263387,3340.526773,-0.089798
g3,n10e3,td190,l95,n200,rad10k,Constant,t0,1172.715977,1172.715977,-2090.87577,4183.75154,1180.262939,213.0698843,10.02024521,-2087.278894,4180.557789,3.193751
g3,n10e3,td190,l95,n200,rad10k,Constant,t0,805.1628669,805.1628669,-1582.162834,3166.325668,804.0488753,818.9303086,74.00755188,-1582.159836,3170.319671,-3.994003
g3,n10e3,td190,l95,n200,rad50k,Constant,t0,1005.406393,1005.406393,-9273.287815,18548.57563,1009.849872,251.6132066,10.00401372,-9262.64522,18531.29044,17.28519
g3,n10e3,td190,l95,n200,rad50k,Constant,t0,1030.187516,1030.187516,-9441.440469,18884.88094,1036.410717,179.1434445,10.00713878,-9421.684247,18849.36849,35.51245
g3,n10e3,td190,l95,n200,rad50k,Constant,t0,1003.960457,1003.960457,-9100.726774,18203.45355,1004.926869,458.2950885,10.0084657,-9098.236052,18202.4721,0.98145
g3,n10e3,td190,l95,n200,rad50k,Constant,t0,1030.912103,1030.912103,-9387.852793,18777.70559,1035.608181,253.0330814,10.00371525,-9377.007838,18760.01568,17.68991
g3,n10e3,td190,l95,n200,rad50k,Constant,t0,1081.389602,1081.389602,-9424.420715,18850.84143,1086.894532,274.6687316,12.07766012,-9412.160299,18830.3206,20.52083
g3,n10e3,td190,l95,n20,wgs,Constant,t0,1047.981403,1047.981403,-366510.3738,733022.7475,1038.553032,3141.934065,119.9549796,-366285.6907,732577.3813,445.3662
g3,n10e3,td190,l95,n20,wgs,Constant,t0,1040.5773,1040.5773,-366628.9079,733259.8159,1028.076111,4999896.116,85.77063398,-365995.0192,731996.0383,1263.7776
g3,n10e3,td190,l95,n20,wgs,Constant,t0,1039.417595,1039.417595,-363437.4231,726876.8463,1029.284471,3291.091898,119.3339543,-363187.7318,726381.4636,495.3827
g3,n10e3,td190,l95,n20,wgs,Constant,t0,1040.415215,1040.415215,-362240.7922,724483.5843,1032.676415,2375.316979,119.936422,-362095.6412,724197.2824,286.3019
g3,n10e3,td190,l95,n20,wgs,Constant,t0,1029.612325,1029.612325,-360927.8158,721857.6317,1020.185961,4999935.744,64.46501527,-360557.9941,721121.9882,735.6435
g3,n10e3,td190,l95,n50,rad10k,Constant,t0,802.2303573,802.2303573,-935.1000635,1872.200127,794.057044,1185.247649,119.9867605,-934.6266352,1875.25327,-3.053143
g3,n10e3,td190,l95,n50,rad10k,Constant,t0,1169.676687,1169.676687,-1269.286697,2540.573394,1165.537628,1432.578241,118.6900986,-1269.186273,2544.372545,-3.799151
g3,n10e3,td190,l95,n50,rad10k,Constant,t0,1073.788425,1073.788425,-1130.554708,2263.109417,1078.472596,658.0926055,68.0612454,-1130.231543,2266.463085,-3.353668
g3,n10e3,td190,l95,n50,rad10k,Constant,t0,905.1454283,905.1454283,-1003.535345,2009.07069,905.7146738,867.9923131,68.04807514,-1003.532914,2013.065828,-3.995138
g3,n10e3,td190,l95,n50,rad10k,Constant,t0,1114.951529,1114.951529,-1227.482073,2456.964146,1119.008627,170.8519603,10.00166116,-1226.8806,2459.761199,-2.797053
g3,n10e3,td190,l95,n50,rad50k,Constant,t0,1001.788353,1001.788353,-5557.436321,11116.87264,992.128816,1504.026914,119.4940261,-5555.267127,11116.53425,0.33839
g3,n10e3,td190,l95,n50,rad50k,Constant,t0,1038.820419,1038.820419,-5688.548416,11379.09683,1028.43385,1726.208487,119.9907883,-5685.456565,11376.91313,2.1837
g3,n10e3,td190,l95,n50,rad50k,Constant,t0,1004.63155,1004.63155,-5457.844014,10917.68803,1000.551275,1229.832579,114.2119255,-5457.34006,10920.68012,-2.99209
g3,n10e3,td190,l95,n50,rad50k,Constant,t0,1031.416175,1031.416175,-5740.619338,11483.23868,1024.213701,1447.812425,119.5920712,-5739.142022,11484.28404,-1.04536
g3,n10e3,td190,l95,n50,rad50k,Constant,t0,1079.110569,1079.110569,-5735.943656,11473.88731,1079.363952,1057.902617,96.05267947,-5735.939887,11477.87977,-3.99246
g3,n10e3,td190,l95,n50,wgs,Constant,t0,1046.485411,1046.485411,-572096.6349,1144195.27,1043.114889,1298.163271,101.3338732,-572049.8656,1144105.731,89.539
g3,n10e3,td190,l95,n50,wgs,Constant,t0,1041.135094,1041.135094,-570313.3765,1140628.753,1035.201976,1523.011245,117.4659749,-570154.4776,1140314.955,313.798
g3,n10e3,td190,l95,n50,wgs,Constant,t0,1030.724761,1030.724761,-566215.1066,1132432.213,1025.959877,1341.832336,101.5082312,-566142.2365,1132290.473,141.74
g3,n10e3,td190,l95,n50,wgs,Constant,t0,1039.511159,1039.511159,-571548.3863,1143098.773,1033.144728,1427.766136,119.9531611,-571421.9092,1142849.818,248.955
g3,n10e3,td190,l95,n50,wgs,Constant,t0,1036.093365,1036.093365,-570354.6167,1140711.233,1029.852115,1402.331316,119.860524,-570237.8015,1140481.603,229.63
