gentime,NeAnc,td,lambda,maxn,sampn,data,maf,Model,scheme,Nh,Nc,T,lnL,AIC,Nh_Cons,Nc_Cons,lnL_Cons,AIC_Cons,delta
g1,n10e4,constant,constant,n500,n200,rad10k,e0.0001,Change,t0t120,11752.69833,307.4738045,119.9925824,-57450.15535,114906.3107,2767.26284,2767.26284,-60707.93856,121417.8771,-6511.566414
g1,n10e4,constant,constant,n500,n200,rad10k,e0.0001,Change,t0t120,11863.7842,297.147753,119.996273,-57035.00709,114076.0142,2768.613344,2768.613344,-60354.18163,120710.3633,-6634.349089
g1,n10e4,constant,constant,n500,n200,rad10k,e0.0001,Change,t0t120,11400.97151,295.2336118,119.9519984,-56164.59856,112335.1971,2697.65896,2697.65896,-59440.18808,118882.3762,-6547.179031
g1,n10e4,constant,constant,n500,n200,rad10k,e0.0001,Change,t0t120,12032.53648,295.7328144,119.9696145,-56995.73006,113997.4601,2803.488132,2803.488132,-60338.81934,120679.6387,-6682.178569
g1,n10e4,constant,constant,n500,n200,rad10k,e0.0001,Change,t0t120,12142.01254,293.4298995,119.9959372,-57270.89174,114547.7835,2788.389487,2788.389487,-60653.8712,121309.7424,-6761.958921
g1,n10e4,constant,constant,n500,n200,rad10k,e0.001,Change,t0t120,25195.63735,22.09806058,119.675281,-303270.7611,606547.5222,1122.686817,1122.686817,-359868.206,719738.4119,-113190.8897
g1,n10e4,constant,constant,n500,n200,rad10k,e0.001,Change,t0t120,24227.9117,21.55720266,119.234822,-302078.8162,604163.6325,1113.968567,1113.968567,-358561.8667,717125.7334,-112962.1009
g1,n10e4,constant,constant,n500,n200,rad10k,e0.001,Change,t0t120,24808.72541,22.21992551,119.6487119,-303078.4058,606162.8116,1120.485213,1120.485213,-359544.5826,719091.1653,-112928.3537
g1,n10e4,constant,constant,n500,n200,rad10k,e0.001,Change,t0t120,25020.55513,22.07924264,119.9925878,-302993.5506,605993.1011,1122.579386,1122.579386,-359555.2026,719112.4052,-113119.3041
g1,n10e4,constant,constant,n500,n200,rad10k,e0.001,Change,t0t120,24527.57042,22.71504294,119.9948633,-303654.8498,607315.6996,1121.361422,1121.361422,-359906.1357,719814.2714,-112498.5718
g1,n10e4,constant,constant,n500,n200,rad10k,e1e-05,Change,t0t120,10625.58622,3508.026501,119.935807,-29363.29607,58732.59214,8527.73025,8527.73025,-29442.9799,58887.95981,-155.3676685
g1,n10e4,constant,constant,n500,n200,rad10k,e1e-05,Change,t0t120,9917.554551,3799.333478,119.9625513,-28232.58547,56471.17095,8153.526234,8153.526234,-28290.66545,56583.33091,-112.1599632
g1,n10e4,constant,constant,n500,n200,rad10k,e1e-05,Change,t0t120,10331.8448,3760.766242,119.9497461,-29446.65206,58899.30411,8404.088256,8404.088256,-29513.81255,59029.6251,-130.3209906
g1,n10e4,constant,constant,n500,n200,rad10k,e1e-05,Change,t0t120,10558.80813,3794.917538,119.2252471,-29045.87058,58097.74115,8700.38567,8700.38567,-29110.50666,58223.01332,-125.2721677
g1,n10e4,constant,constant,n500,n200,rad10k,e1e-05,Change,t0t120,10270.23276,2430.147779,66.22883897,-29092.06506,58190.13013,8451.923686,8451.923686,-29155.7818,58313.5636,-123.4334716
g1,n10e4,constant,constant,n500,n200,rad50k,e0.0001,Change,t0t120,11715.06318,303.9190947,119.9643246,-285429.1606,570864.3213,2772.919645,2772.919645,-301770.4447,603542.8893,-32678.56804
g1,n10e4,constant,constant,n500,n200,rad50k,e0.0001,Change,t0t120,11648.7018,293.2420372,119.7505902,-283266.707,566539.4141,2718.651975,2718.651975,-299823.4236,599648.8472,-33109.43316
g1,n10e4,constant,constant,n500,n200,rad50k,e0.0001,Change,t0t120,11946.09019,294.9559109,119.9152786,-285401.8287,570809.6574,2769.258608,2769.258608,-302107.1668,604216.3336,-33406.6762
g1,n10e4,constant,constant,n500,n200,rad50k,e0.0001,Change,t0t120,11925.52839,298.6368485,119.8833294,-285259.2415,570524.483,2789.411672,2789.411672,-301799.991,603601.9821,-33077.49913
g1,n10e4,constant,constant,n500,n200,rad50k,e0.0001,Change,t0t120,11965.63149,297.7327687,119.9207617,-285587.9973,571181.9945,2786.936792,2786.936792,-302225.2617,604452.5234,-33270.52891
g1,n10e4,constant,constant,n500,n200,rad50k,e0.001,Change,t0t120,24912.95011,22.3232072,119.9923812,-1515073.314,3030152.628,1122.058879,1122.058879,-1797288.693,3594579.385,-564426.7577
g1,n10e4,constant,constant,n500,n200,rad50k,e0.001,Change,t0t120,24534.65998,22.56267902,119.9693589,-1515325.56,3030657.12,1121.298879,1121.298879,-1796767.131,3593536.262,-562879.1422
g1,n10e4,constant,constant,n500,n200,rad50k,e0.001,Change,t0t120,24838.02013,22.33823498,119.9912023,-1514802.553,3029611.106,1121.782234,1121.782234,-1796856.547,3593715.094,-564103.9882
g1,n10e4,constant,constant,n500,n200,rad50k,e0.001,Change,t0t120,24863.56287,22.2992739,119.9387894,-1514663.223,3029332.446,1120.402297,1120.402297,-1797102.204,3594206.408,-564873.9621
g1,n10e4,constant,constant,n500,n200,rad50k,e0.001,Change,t0t120,24530.94968,22.02145212,119.9768667,-1512339.659,3024685.318,1116.465354,1116.465354,-1794586.916,3589175.833,-564490.5152
g1,n10e4,constant,constant,n500,n200,rad50k,e1e-05,Change,t0t120,10497.27007,3553.210839,119.8131611,-146430.5613,292867.1226,8453.469102,8453.469102,-146807.8724,293617.7449,-750.6223116
g1,n10e4,constant,constant,n500,n200,rad50k,e1e-05,Change,t0t120,10170.6178,3533.773078,119.9285581,-144356.2453,288718.4906,8169.667082,8169.667082,-144720.8894,289443.7787,-725.2880945
g1,n10e4,constant,constant,n500,n200,rad50k,e1e-05,Change,t0t120,10487.86257,3609.092066,119.9833308,-146515.7502,293037.5003,8481.184831,8481.184831,-146883.4119,293768.8238,-731.3234502
g1,n10e4,constant,constant,n500,n200,rad50k,e1e-05,Change,t0t120,10464.34343,3699.641762,119.4846083,-146093.5709,292193.1418,8537.878341,8537.878341,-146434.5314,292871.0628,-677.9210718
g1,n10e4,constant,constant,n500,n200,rad50k,e1e-05,Change,t0t120,10270.51288,3763.687348,119.9172232,-146162.899,292331.798,8398.723083,8398.723083,-146486.4457,292974.8914,-643.0933856
g1,n10e4,td100,l99,n500,n200,rad10k,e0.0001,Change,t0t120,12237.4984,237.5589612,118.0593443,-55868.67556,111743.3511,2448.573965,2448.573965,-59671.73362,119345.4672,-7602.116108
g1,n10e4,td100,l99,n500,n200,rad10k,e0.0001,Change,t0t120,12051.46742,236.6602875,119.6381268,-55431.59488,110869.1898,2401.105723,2401.105723,-59262.33979,118526.6796,-7657.489833
g1,n10e4,td100,l99,n500,n200,rad10k,e0.0001,Change,t0t120,11767.01605,234.0624644,119.8617234,-54834.44098,109674.882,2378.291111,2378.291111,-58649.35985,117300.7197,-7625.837736
g1,n10e4,td100,l99,n500,n200,rad10k,e0.0001,Change,t0t120,12956.68967,230.8005553,119.6343298,-56300.2831,112606.5662,2477.050021,2477.050021,-60287.68937,120577.3787,-7970.812551
g1,n10e4,td100,l99,n500,n200,rad10k,e0.0001,Change,t0t120,12218.46317,228.8302401,119.9309565,-55290.04018,110586.0804,2372.681766,2372.681766,-59211.74809,118425.4962,-7839.415815
g1,n10e4,td100,l99,n500,n200,rad10k,e0.001,Change,t0t120,26262.54185,18.4171761,113.8799667,-300312.1519,600630.3038,1092.197357,1092.197357,-358135.0463,716272.0926,-115641.7888
g1,n10e4,td100,l99,n500,n200,rad10k,e0.001,Change,t0t120,25555.85748,19.50689744,119.9553802,-299887.2841,599780.5681,1092.040208,1092.040208,-357559.6175,715121.235,-115340.6669
g1,n10e4,td100,l99,n500,n200,rad10k,e0.001,Change,t0t120,27087.8357,20.08690447,119.9194622,-301460.7745,602927.5491,1102.369657,1102.369657,-359314.2971,718630.5942,-115703.0451
g1,n10e4,td100,l99,n500,n200,rad10k,e0.001,Change,t0t120,26068.57269,20.25183179,119.9882291,-301134.7696,602275.5391,1099.244894,1099.244894,-358660.9406,717323.8812,-115048.3421
g1,n10e4,td100,l99,n500,n200,rad10k,e0.001,Change,t0t120,25926.21829,19.99393456,119.9855897,-300600.5667,601207.1335,1094.933034,1094.933034,-358208.2773,716418.5546,-115211.4211
g1,n10e4,td100,l99,n500,n200,rad10k,e1e-05,Change,t0t120,10981.99924,1382.676595,104.0995764,-29353.68774,58713.37549,6475.183245,6475.183245,-29675.76692,59353.53385,-640.1583597
g1,n10e4,td100,l99,n500,n200,rad10k,e1e-05,Change,t0t120,10342.97182,1769.200706,118.7131727,-28824.3388,57654.6776,6348.936938,6348.936938,-29082.368,58166.736,-512.0583969
g1,n10e4,td100,l99,n500,n200,rad10k,e1e-05,Change,t0t120,9878.482729,1733.338156,119.8740465,-27860.21018,55726.42036,6064.770549,6064.770549,-28112.88627,56227.77255,-501.3521913
g1,n10e4,td100,l99,n500,n200,rad10k,e1e-05,Change,t0t120,10156.91381,1711.112178,119.9893917,-28443.24636,56892.49273,6124.857761,6124.857761,-28709.55317,57421.10634,-528.6136149
g1,n10e4,td100,l99,n500,n200,rad10k,e1e-05,Change,t0t120,10298.71288,1584.65387,119.8061792,-28378.09612,56762.19223,6016.542262,6016.542262,-28678.86322,57359.72643,-597.5341998
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12353.97563,241.5034141,119.9344446,-282053.5683,564113.1366,2445.742809,2445.742809,-301277.8342,602557.6685,-38444.53184
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12293.12282,239.1509717,119.9374087,-279967.2408,559940.4816,2436.398733,2436.398733,-299191.1118,598384.2236,-38443.74208
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12385.64517,232.4095706,119.9579281,-278982.4223,557970.8445,2419.749246,2419.749246,-298590.9877,597183.9754,-39213.13092
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12575.85932,229.3504722,119.9464542,-280322.2285,560650.457,2421.464369,2421.464369,-300175.7194,600353.4389,-39702.98184
g1,n10e4,td100,l99,n500,n200,rad50k,e0.0001,Change,t0t120,12115.16003,240.4060891,119.9909995,-279207.895,558421.79,2424.145443,2424.145443,-298295.0367,596592.0734,-38170.2834
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,25910.31291,19.78799043,117.6720721,-1505014.514,3010035.028,1097.980018,1097.980018,-1792558.795,3585119.59,-575084.5621
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26630.81438,19.80699476,119.9023804,-1505252.938,3010511.875,1097.51282,1097.51282,-1794473.873,3588949.747,-578437.8712
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26348.42395,19.90399574,119.9361725,-1504156.183,3008318.365,1097.773602,1097.773602,-1792847.67,3585697.341,-577378.9753
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26215.74448,20.13383531,119.9330163,-1505661.791,3011329.583,1098.628007,1098.628007,-1793529.156,3587060.313,-575730.73
g1,n10e4,td100,l99,n500,n200,rad50k,e0.001,Change,t0t120,26271.72094,20.47844438,119.9296042,-1508187.173,3016380.345,1100.517195,1100.517195,-1795687.468,3591376.936,-574996.5914
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10196.87894,1730.251178,117.6060005,-143591.4005,287188.801,6227.328195,6227.328195,-144887.7273,289777.4545,-2588.653522
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10641.25952,1563.581842,118.0261135,-145206.9323,290419.8646,6225.906812,6225.906812,-146765.5938,293533.1877,-3113.32306
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10456.67171,1730.110495,119.9748166,-146414.8993,292835.7986,6296.170209,6296.170209,-147794.0593,295590.1187,-2754.320067
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10399.0678,1744.09301,119.9608155,-144375.0609,288756.1218,6312.252507,6312.252507,-145720.354,291442.708,-2686.586195
g1,n10e4,td100,l99,n500,n200,rad50k,e1e-05,Change,t0t120,10437.14385,1636.829108,119.99691,-143737.0605,287480.121,6195.336331,6195.336331,-145203.8746,290409.7491,-2929.628079
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,12686.94518,255.5145943,114.7549065,-57697.06744,115400.1349,2697.401482,2697.401482,-61363.2148,122728.4296,-7328.294717
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11847.00602,268.6155761,119.5136323,-56689.69346,113385.3869,2585.177264,2585.177264,-60251.82512,120505.6502,-7120.263327
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11922.18097,265.4326921,118.7708192,-56387.0348,112780.0696,2621.284039,2621.284039,-59955.26864,119912.5373,-7132.467681
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11714.95478,264.9238252,117.6779622,-56899.83064,113805.6613,2585.190263,2585.190263,-60440.85719,120883.7144,-7078.053113
g1,n10e4,td190,l95,n500,n200,rad10k,e0.0001,Change,t0t120,11915.76383,255.5064632,118.4198943,-56809.26855,113624.5371,2562.611416,2562.611416,-60451.45613,120904.9123,-7280.375156
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25262.299,20.99863211,119.4654525,-301584.701,603175.402,1107.52049,1107.52049,-358556.8488,717115.6975,-113940.2955
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25041.51305,21.39121186,119.6015925,-301620.2241,603246.4482,1110.381843,1110.381843,-358377.6269,716757.2539,-113510.8057
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,24827.75657,21.48914479,119.9701775,-301841.758,603689.5161,1109.364128,1109.364128,-358560.8726,717123.7452,-113434.2291
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,25143.46432,21.15767912,119.7812028,-301249.6872,602505.3745,1111.645933,1111.645933,-358096.2996,716194.5991,-113689.2247
g1,n10e4,td190,l95,n500,n200,rad10k,e0.001,Change,t0t120,26151.72917,21.79569564,119.9739678,-302687.6763,605381.3526,1120.248628,1120.248628,-359598.3743,719198.7485,-113817.3959
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10281.12681,2746.56703,119.3614325,-28484.29033,56974.58065,7665.430397,7665.430397,-28608.30534,57218.61068,-244.0300322
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10967.06974,2536.338473,119.8653152,-29810.332,59626.66401,7884.475152,7884.475152,-29968.08242,59938.16484,-311.5008325
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10135.99784,2700.35916,119.9829659,-28994.48035,57994.96071,7463.593834,7463.593834,-29122.53664,58247.07329,-252.1125808
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10232.29339,2482.494786,119.9869831,-29002.35544,58010.71087,7346.014689,7346.014689,-29149.84097,58301.68195,-290.9710733
g1,n10e4,td190,l95,n500,n200,rad10k,e1e-05,Change,t0t120,10158.10927,2589.108784,119.9659671,-28804.52388,57615.04776,7314.658935,7314.658935,-28943.83285,57889.6657,-274.6179449
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12174.54092,270.0764091,119.9201147,-284951.3723,569908.7446,2624.838749,2624.838749,-302877.1484,605756.2969,-35847.55232
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12034.65873,272.1694711,119.829277,-283467.8641,566941.7282,2633.183125,2633.183125,-301165.8273,602333.6546,-35391.92633
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12120.06529,273.3939488,119.9569805,-285108.1842,570222.3683,2645.961897,2645.961897,-302815.933,605633.866,-35411.49769
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,11992.20899,273.3424519,119.9648283,-282843.0961,565692.1922,2636.64872,2636.64872,-300481.0646,600964.1292,-35271.93701
g1,n10e4,td190,l95,n500,n200,rad50k,e0.0001,Change,t0t120,12156.75535,271.0232932,119.9939816,-285153.9197,570313.8394,2624.772629,2624.772629,-303013.1926,606028.3853,-35714.54591
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25502.23785,21.51758914,119.6592572,-1511019.457,3022044.914,1113.402119,1113.402119,-1795254.224,3590510.448,-568465.5343
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25466.13377,21.46567294,119.6894404,-1511214.212,3022434.423,1112.760733,1112.760733,-1795395.559,3590793.118,-568358.6945
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25290.68844,21.43126115,119.8180151,-1509500.44,3019006.881,1112.698745,1112.698745,-1793531.075,3587064.15,-568057.2689
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25227.86848,21.41576353,119.9821731,-1508849.461,3017704.922,1112.804409,1112.804409,-1792843.232,3585688.464,-567983.5417
g1,n10e4,td190,l95,n500,n200,rad50k,e0.001,Change,t0t120,25392.33117,21.61072272,119.8764695,-1511331.483,3022668.965,1113.491588,1113.491588,-1795249.596,3590501.192,-567832.2267
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10395.60099,2642.051316,119.9291651,-145308.1876,290622.3753,7582.951286,7582.951286,-145995.9675,291993.9351,-1371.559797
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10361.49177,2683.883043,119.9707889,-144634.6489,289275.2979,7603.623633,7603.623633,-145298.6184,290599.2368,-1323.938853
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10485.32047,2467.08891,119.3726929,-146986.57,293979.1401,7441.262878,7441.262878,-147773.4646,295548.9291,-1569.789068
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10515.50194,2662.445879,119.9955877,-146894.3765,293794.7531,7676.407397,7676.407397,-147583.7407,295169.4814,-1374.728329
g1,n10e4,td190,l95,n500,n200,rad50k,e1e-05,Change,t0t120,10551.5689,2444.214791,114.5593636,-147124.7173,294255.4346,7485.733753,7485.733753,-147890.5083,295783.0165,-1527.581872